idx,imu_Timestamp[sec],mag_Timestamp[sec],baro_Timestamp[sec],accX[m/s^2],accY[m/s^2],accZ[m/s^2],gyroX[deg/s],gyroY[deg/s],gyroZ[deg/s],magX[uT],magY[uT],magZ[uT],orX[deg],orY[deg],orZ[deg],press[hPa],rel_alt[m],moving, temp_left[C],temp_right[C],temp_imu[C],temp_barom[C],
66664,167.806134000,167.795946000,152.011841000,-0.091654748,-0.413025916,10.041928291,0.012670535,0.169098198,0.097770959,0.125000000,-1.000000000,-3.000000000,-92.424552917,151.103607178,-0.366797328,1032.478271484,6.252906799,0.000000000,31.929998398,32.680000305,32.639999390,32.989997864,
66666,167.811174000,167.816106000,152.011841000,-0.091689996,-0.413030267,10.046693802,0.073920473,0.047489665,-0.087527260,0.125000000,-1.000000000,-3.000000000,-92.426254272,151.103515625,-0.370227873,1032.478271484,6.252610207,0.000000000,31.929998398,32.680000305,32.639999390,32.989997864,
66668,167.816214000,167.816106000,152.011841000,-0.079822101,-0.410643905,10.056221008,0.072747275,0.047134016,0.036361579,0.125000000,-1.000000000,-3.000000000,-92.419517517,151.103729248,-0.376606554,1032.478271484,6.252313137,0.000000000,31.929998398,32.680000305,32.639999390,32.989997864,
66670,167.821254000,167.816106000,152.011841000,-0.072621502,-0.411464363,10.048177719,-0.081115544,-0.076195404,0.003663009,0.125000000,-1.000000000,-3.000000000,-92.419067383,151.103790283,-0.375671625,1032.478271484,6.252015591,0.000000000,31.929998398,32.680000305,32.630001068,32.989997864,
66672,167.826294000,167.816106000,152.011841000,-0.070180975,-0.411457270,10.041031837,0.007436369,-0.167615667,0.066585846,0.125000000,-1.000000000,-3.000000000,-92.418724060,151.103805542,-0.374667585,1032.478271484,6.251718044,0.000000000,31.929998398,32.680000305,32.630001068,32.989997864,
66673,167.828814000,167.816106000,152.011841000,-0.067775689,-0.411454529,10.038650513,-0.022784552,-0.045476094,0.097288981,0.125000000,-1.000000000,-3.000000000,-92.415107727,151.104095459,-0.377036840,1032.478271484,6.251569271,0.000000000,31.929998398,32.680000305,32.630001068,32.989997864,
66675,167.833854000,167.836266000,152.011841000,-0.067793302,-0.416241139,10.041031837,0.125734612,0.047088660,0.037163485,0.125000000,-1.000000000,-3.000000000,-92.414512634,151.104187012,-0.377268225,1032.478271484,6.251270771,0.000000000,31.929998398,32.680000305,32.630001068,32.989997864,
66677,167.838894000,167.836266000,152.011841000,-0.070163362,-0.428200662,10.038650513,0.127344713,-0.044211656,-0.117714152,0.125000000,-1.000000000,-3.000000000,-92.414245605,151.103607178,-0.377380908,1032.478271484,6.250971794,0.000000000,31.929998398,32.680000305,32.630001068,32.989997864,
66679,167.843934000,167.836266000,152.011841000,-0.067846164,-0.432993233,10.048177719,0.007095926,-0.106364511,0.066613063,0.125000000,-1.000000000,-3.000000000,-92.414291382,151.104034424,-0.376860112,1032.478271484,6.250672340,0.000000000,31.929998398,32.680000305,32.630001068,32.989997864,
66681,167.848974000,167.836266000,152.011841000,-0.055995904,-0.437785745,10.060088158,0.124325559,0.077410005,0.161136732,0.125000000,-1.000000000,-3.000000000,-92.416542053,151.104095459,-0.372791797,1032.478271484,6.250372410,0.000000000,31.929998398,32.680000305,32.630001068,32.989997864,
66683,167.854014000,167.856426000,152.011841000,-0.048802305,-0.433734417,10.061882019,0.078040250,0.139352247,0.067136638,0.062500000,-1.000000000,-3.000000000,-92.419593811,151.104324341,-0.371243000,1032.478271484,6.250072002,0.000000000,31.929998398,32.680000305,32.649997711,32.989997864,
66685,167.859054000,167.856426000,152.011841000,-0.048767071,-0.431337863,10.057116508,0.047824558,-0.013945485,0.159452498,0.062500000,-1.000000000,-3.000000000,-92.420333862,151.104873657,-0.370389223,1032.478271484,6.249771595,0.000000000,31.929998398,32.680000305,32.649997711,32.989997864,
66687,167.864094000,167.856426000,152.011841000,-0.048944607,-0.441932470,10.060373306,0.065716453,-0.016326180,-0.086305566,0.062500000,-1.000000000,-3.000000000,-92.419853210,151.104217529,-0.369625092,1032.478271484,6.249471188,0.000000000,31.929998398,32.680000305,32.579998016,32.989997864,
66689,167.869134000,167.856426000,152.011841000,-0.051297031,-0.439536452,10.055607796,0.063563019,-0.016857227,0.130460426,0.062500000,-1.000000000,-3.000000000,-92.426605225,151.104690552,-0.364288032,1032.478271484,6.249170780,0.000000000,31.929998398,32.680000305,32.579998016,32.989997864,
66690,167.871654000,167.876586000,152.011841000,-0.053568330,-0.429865181,10.048768044,0.081675507,-0.015602287,0.191787928,0.062500000,-1.000000000,-3.000000000,-92.422332764,151.105178833,-0.364311934,1032.478271484,6.249020576,0.000000000,31.929998398,32.680000305,32.610000610,32.989997864,
66692,167.876694000,167.876586000,152.011841000,-0.063030921,-0.425072104,10.036856651,0.143345177,0.015916742,-0.086234458,0.062500000,-1.000000000,-3.000000000,-92.428665161,151.104812622,-0.360796869,1032.478271484,6.248720169,0.000000000,31.929998398,32.680000305,32.610000610,32.989997864,
66694,167.881734000,167.876586000,152.011841000,-0.065413937,-0.419549227,10.030301094,-0.017920816,-0.046972066,-0.025733391,0.062500000,-1.000000000,-3.000000000,-92.429138184,151.104766846,-0.364647478,1032.478271484,6.248419762,0.000000000,31.929998398,32.680000305,32.590000153,32.989997864,
66696,167.886774000,167.876586000,152.011841000,-0.058250923,-0.412370861,10.030301094,-0.017988585,-0.016403873,-0.025675269,0.062500000,-1.000000000,-3.000000000,-92.421180725,151.104690552,-0.362709373,1032.478271484,6.248118401,0.000000000,31.929998398,32.680000305,32.590000153,32.989997864,
66698,167.891814000,167.896746000,152.011841000,-0.058326062,-0.417903006,10.046385765,0.260476410,0.077311605,0.039261781,0.062500000,-1.000000000,-3.000000000,-92.420669556,151.104385376,-0.362653017,1032.478271484,6.247816563,0.000000000,31.929998398,32.680000305,32.610000610,32.989997864,
66700,167.896854000,167.896746000,152.011841000,-0.058449391,-0.432271540,10.063060760,-0.092514805,-0.260044664,-0.182100132,0.062500000,-1.000000000,-3.000000000,-92.420822144,151.103988647,-0.361561894,1032.478271484,6.247514248,0.000000000,31.929998398,32.680000305,32.610000610,32.989997864,
66702,167.901894000,167.896746000,152.011841000,-0.065594792,-0.434663296,10.060678482,0.142834738,0.138363525,-0.085798249,0.062500000,-1.000000000,-3.000000000,-92.420631409,151.103393555,-0.363241285,1032.478271484,6.247210979,0.000000000,31.929998398,32.680000305,32.610000610,32.989997864,
66704,167.906934000,167.896746000,152.011841000,-0.079938449,-0.432276666,10.063060760,0.113011561,-0.106554955,-0.024430932,0.062500000,-1.000000000,-3.000000000,-92.426132202,151.103317261,-0.366594136,1032.478271484,6.246907711,0.000000000,31.929998398,32.680000305,32.610000610,32.989997864,
66706,167.911974000,167.916906000,152.011841000,-0.084703162,-0.427403659,10.070513725,0.162097037,0.048212919,-0.148307085,0.062500000,-1.000000000,-3.000000000,-92.424804688,151.102966309,-0.368210346,1032.478271484,6.246604443,0.000000000,31.929998398,32.680000305,32.639999390,32.989997864,
66708,167.917014000,167.916906000,152.011841000,-0.087108448,-0.425014168,10.072895050,-0.017131181,0.199950218,-0.057265319,0.125000000,-1.000000000,-3.000000000,-92.423851013,151.102661133,-0.369018912,1032.478271484,6.246302128,0.000000000,31.929998398,32.680000305,32.639999390,32.989997864,
66710,167.922054000,167.916906000,152.011841000,-0.084867723,-0.424381703,10.077942848,0.098092295,0.044776160,0.162017271,0.125000000,-1.000000000,-3.000000000,-92.424781799,151.103042603,-0.380424708,1032.478271484,6.245999813,0.000000000,31.929998398,32.680000305,32.590000153,32.989997864,
66712,167.927094000,167.916906000,152.011841000,-0.072876491,-0.424372375,10.070796013,-0.019214496,-0.047215659,0.036496088,0.125000000,-1.000000000,-3.000000000,-92.424888611,151.103500366,-0.380399078,1032.478271484,6.245697498,0.000000000,31.929998398,32.680000305,32.590000153,32.989997864,
66714,167.932134000,167.937066000,152.011841000,-0.067914329,-0.421867579,10.054429054,0.060109615,0.016020956,-0.118069731,0.125000000,-1.000000000,-3.000000000,-92.424514771,151.102966309,-0.380523741,1032.478271484,6.245395660,0.000000000,31.929998398,32.680000305,32.619998932,32.989997864,
66716,167.937174000,167.937066000,152.011841000,-0.072636805,-0.414685518,10.047282219,0.146111727,0.107344858,0.161829636,0.062500000,-1.000000000,-2.937500000,-92.423057556,151.103332520,-0.381634533,1032.478271484,6.245094299,0.000000000,31.929998398,32.680000305,32.619998932,32.989997864,
66718,167.942214000,167.937066000,152.011841000,-0.065453835,-0.413115919,10.041622162,0.053222541,-0.045921016,-0.056085791,0.062500000,-1.000000000,-2.937500000,-92.421707153,151.103378296,-0.382257789,1032.478271484,6.244792938,0.000000000,31.929998398,32.680000305,32.610000610,32.989997864,
66720,167.947254000,167.937066000,152.011841000,-0.055938393,-0.408333570,10.046385765,-0.036781635,-0.016023571,0.035775304,0.062500000,-1.000000000,-2.937500000,-92.416587830,151.103668213,-0.381271631,1032.478271484,6.244490623,0.000000000,31.929998398,32.680000305,32.610000610,32.989997864,
66721,167.949774000,167.937066000,152.011841000,-0.053603575,-0.403555065,10.053530693,0.081939429,-0.076600783,0.037105724,0.062500000,-1.000000000,-2.937500000,-92.416763306,151.103775024,-0.375378788,1032.478271484,6.244339466,0.000000000,31.929998398,32.680000305,32.610000610,32.989997864,
66723,167.954814000,167.957226000,152.011841000,-0.055960659,-0.399505824,10.055324554,-0.024540443,0.046025496,0.035456259,0.062500000,-1.000000000,-3.000000000,-92.410530090,151.103820801,-0.372109622,1032.478271484,6.244037151,0.000000000,31.929998398,32.680000305,32.630001068,32.989997864,
66725,167.959854000,167.957226000,152.011841000,-0.053555377,-0.399503082,10.052942276,0.065396070,-0.014440514,-0.056399729,0.062500000,-1.000000000,-3.000000000,-92.404708862,151.103424072,-0.371138006,1032.478271484,6.243733883,0.000000000,31.929998398,32.680000305,32.630001068,32.989997864,
66727,167.964894000,167.957226000,152.011841000,-0.051134780,-0.403456092,10.051456451,0.101999164,0.016957866,-0.148949370,0.062500000,-1.000000000,-3.000000000,-92.401878357,151.102523804,-0.368604779,1032.478271484,6.243430614,0.000000000,31.929998398,32.680000305,32.639999390,32.989997864,
66729,167.969934000,167.957226000,152.011841000,-0.053522453,-0.408241093,10.051456451,0.010171432,-0.014876686,0.159672350,0.062500000,-1.000000000,-3.000000000,-92.399337769,151.103027344,-0.365777045,1032.478271484,6.243127346,0.000000000,31.929998398,32.680000305,32.639999390,32.989997864,
66731,167.974974000,167.977386000,152.011841000,-0.063138984,-0.405120879,10.054429054,0.148631111,-0.075506195,-0.117091745,0.125000000,-1.000000000,-3.000000000,-92.394432068,151.103027344,-0.364595383,1032.478271484,6.242824078,0.000000000,31.929998398,32.680000305,32.619998932,32.989997864,
66733,167.980014000,167.977386000,152.011841000,-0.070354857,-0.405129045,10.061574936,-0.208545104,-0.077460535,0.033573981,0.125000000,-1.000000000,-3.000000000,-92.391250610,151.103088379,-0.367579401,1032.478271484,6.242520332,0.000000000,31.929998398,32.680000305,32.619998932,32.989997864,
66735,167.985054000,167.977386000,152.011841000,-0.063154258,-0.417910606,10.053530693,0.112486176,0.046253722,-0.117167652,0.125000000,-1.000000000,-3.000000000,-92.391044617,151.103195190,-0.367505968,1032.478271484,6.242216110,0.000000000,31.929998398,32.680000305,32.610000610,32.989997864,
66737,167.990094000,167.977386000,152.011841000,-0.053480238,-0.429854304,10.036856651,-0.066449523,-0.138393164,0.035443131,0.125000000,-1.000000000,-3.000000000,-92.392425537,151.103134155,-0.365303189,1032.478271484,6.241911888,0.000000000,31.929998398,32.680000305,32.610000610,32.989997864,
66739,167.995134000,167.997546000,152.011841000,-0.050943300,-0.433704585,10.028531075,0.107323192,0.109110460,-0.087119542,0.125000000,-1.000000000,-2.937500000,-92.394546509,151.102828979,-0.363022715,1032.478271484,6.241607666,0.000000000,31.929998398,32.680000305,32.649997711,32.989997864,
